trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,9,-18.17940348574342,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-180.8959038518921,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,1,-18.140464275356663,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-101.45087309153114,"{0: 17, 1: 3, 2: 1, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-52.24828771971796,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-148.3635905201955,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-118.7561170717889,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",45,0,-229.86414047465735,"{0: 28, 1: 4, 2: 8, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,1,-148.09321649945676,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-88.92669713663206,"{0: 24, 1: 6, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,10,-13.341117585888362,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",40,11,-175.71311886038544,"{0: 17, 1: 4, 2: 2, 3: 4, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,18,11.24766503429625,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-178.96034224285754,"{0: 16, 1: 4, 2: 0, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,9,20.881452755721945,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,13,-109.28539058962383,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,6,-46.71284648958469,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,-84.29550505035212,"{0: 27, 1: 3, 2: 1, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",45,26,0.1675485361470297,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,5,-3.6048421911380064,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",40,29,14.971169983707762,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,13,-30.46920601893897,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,-21.122981840365284,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,6,-6.607855739825633,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",35,6,30.016674297374202,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",40,23,20.692055303134865,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,17,11.252570319853497,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,13,14.916486889271997,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-59.070956580382614,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,2,5.144623724130843,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
