trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9984}",25,0,-208.83767996312673,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9967999999999999}",30,0,-149.57433085808682,"{0: 20, 1: 4, 2: 1, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9951999999999999}",25,0,-27.468435999300056,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9935999999999998}",25,0,-61.08979371265597,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9919999999999998}",30,0,-282.63051339181817,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.9903999999999997}",25,0,-161.80998797876097,"{0: 15, 1: 5, 2: 1, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9887999999999997}",45,0,-166.129368570195,"{0: 27, 1: 8, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9871999999999996}",35,0,-63.086460861590794,"{0: 28, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9855999999999996}",25,0,-183.44677515509505,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9839999999999995}",35,0,-313.0603301865838,"{0: 15, 1: 8, 2: 5, 3: 2, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.9823999999999995}",30,0,-126.34849599371466,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9807999999999995}",30,0,-192.23163495805082,"{0: 20, 1: 2, 2: 2, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9791999999999994}",20,0,-174.38814658347152,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9775999999999994}",20,0,-138.63025726616726,"{0: 9, 1: 6, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9759999999999993}",25,0,-273.80385080275073,"{0: 10, 1: 7, 2: 1, 3: 2, 4: 5}",0
16,False,"{'a': 0.5, 'e': 0.9743999999999993}",40,0,-302.45150129919875,"{0: 21, 1: 8, 2: 2, 3: 5, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.9727999999999992}",20,0,-53.051707397260586,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9711999999999992}",20,0,-126.25393393621547,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9695999999999991}",30,0,-102.93436687639606,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9679999999999991}",20,0,-73.7399338823368,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.966399999999999}",30,0,-133.96746519760725,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.964799999999999}",25,0,-149.04548572460416,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.963199999999999}",20,0,-57.31077564654328,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9615999999999989}",30,0,-145.09393401435338,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.9599999999999989}",30,0,-176.59590577435603,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9583999999999988}",35,0,-99.91520850610094,"{0: 23, 1: 4, 2: 7, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9567999999999988}",30,0,-175.1605927447577,"{0: 17, 1: 7, 2: 3, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.9551999999999987}",40,0,-234.53267820399842,"{0: 25, 1: 6, 2: 3, 3: 2, 4: 4}",0
29,False,"{'a': 0.5, 'e': 0.9535999999999987}",30,0,-276.0477366559547,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 6}",0
30,False,"{'a': 0.5, 'e': 0.9519999999999986}",35,0,-116.6492641951693,"{0: 23, 1: 6, 2: 3, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9503999999999986}",20,0,-50.1195265046515,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9487999999999985}",25,0,-113.62907345873134,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9471999999999985}",35,0,-100.93583039367488,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9455999999999984}",25,0,-60.772365712192105,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9439999999999984}",45,0,-227.35616092107483,"{0: 32, 1: 4, 2: 2, 3: 3, 4: 4}",0
36,False,"{'a': 0.5, 'e': 0.9423999999999984}",25,0,-135.37521183732753,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.9407999999999983}",40,0,-267.12290437518755,"{0: 20, 1: 7, 2: 7, 3: 3, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.9391999999999983}",20,0,-131.3044282617397,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9375999999999982}",35,0,-89.87549312927716,"{0: 27, 1: 3, 2: 2, 3: 2, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9359999999999982}",20,8,-37.08283011971445,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.9343999999999981}",30,0,-173.81870514282164,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.9327999999999981}",45,0,-203.93752352198166,"{0: 29, 1: 5, 2: 5, 3: 4, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.931199999999998}",25,0,-52.80339007029995,"{0: 20, 1: 1, 2: 1, 3: 3, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.929599999999998}",20,0,-108.38554226521285,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9279999999999979}",30,0,-121.56212067136853,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9263999999999979}",40,0,-252.1398706271992,"{0: 26, 1: 3, 2: 5, 3: 1, 4: 5}",0
47,False,"{'a': 0.5, 'e': 0.9247999999999978}",40,0,-216.87220621581852,"{0: 26, 1: 5, 2: 4, 3: 1, 4: 4}",1
